PaymentMethod_Electronic_check,tenure_group_61_72,Dependents_Yes,TechSupport_Yes,InternetService_No,MonthlyCharges,StreamingTV_No_internet_service,StreamingMovies_No_internet_service,Contract_One_year,PaperlessBilling_Yes,OnlineBackup_No_internet_service,DeviceProtection_No_internet_service,TotalCharges,InternetService_Fiber_optic,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,Contract_Two_year,TechSupport_No_internet_service
1.0,0.0,0.0,0.0,0.0,29.85,0.0,0.0,0.0,1.0,0.0,0.0,29.85,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,56.95,0.0,0.0,1.0,0.0,0.0,0.0,1889.5,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,53.85,0.0,0.0,0.0,1.0,0.0,0.0,108.15,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,42.3,0.0,0.0,1.0,0.0,0.0,0.0,1840.75,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,70.7,0.0,0.0,0.0,1.0,0.0,0.0,151.65,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,99.65,0.0,0.0,0.0,1.0,0.0,0.0,820.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,89.1,0.0,0.0,0.0,1.0,0.0,0.0,1949.4,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,29.75,0.0,0.0,0.0,0.0,0.0,0.0,301.9,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,104.8,0.0,0.0,0.0,1.0,0.0,0.0,3046.05,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,56.15,0.0,0.0,1.0,0.0,0.0,0.0,3487.95,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,49.95,0.0,0.0,0.0,1.0,0.0,0.0,587.45,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,18.95,1.0,1.0,0.0,0.0,1.0,1.0,326.8,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,100.35,0.0,0.0,1.0,0.0,0.0,0.0,5681.1,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,103.7,0.0,0.0,0.0,1.0,0.0,0.0,5036.3,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,105.5,0.0,0.0,0.0,1.0,0.0,0.0,2686.05,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,113.25,0.0,0.0,0.0,0.0,0.0,0.0,7895.15,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,20.65,1.0,1.0,1.0,0.0,1.0,1.0,1022.95,0.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,106.7,0.0,0.0,0.0,0.0,0.0,0.0,7382.25,1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,528.35,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,90.05,0.0,0.0,0.0,1.0,0.0,0.0,1862.9,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,39.65,0.0,0.0,0.0,1.0,0.0,0.0,39.65,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,19.8,1.0,1.0,1.0,0.0,1.0,1.0,202.25,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,20.15,1.0,1.0,0.0,0.0,1.0,1.0,20.15,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,59.9,0.0,0.0,0.0,1.0,0.0,0.0,3505.1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,59.6,0.0,0.0,0.0,0.0,0.0,0.0,2970.3,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,55.3,0.0,0.0,0.0,1.0,0.0,0.0,1530.6,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,99.35,0.0,0.0,0.0,1.0,0.0,0.0,4749.15,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,90.25,0.0,0.0,0.0,1.0,0.0,0.0,6369.45,0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,64.7,0.0,0.0,0.0,1.0,0.0,0.0,1093.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,96.35,0.0,0.0,0.0,1.0,0.0,0.0,6766.95,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,95.5,0.0,0.0,0.0,1.0,0.0,0.0,181.65,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,66.15,0.0,0.0,1.0,0.0,0.0,0.0,1874.45,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.2,1.0,1.0,0.0,0.0,1.0,1.0,20.2,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,45.25,0.0,0.0,0.0,0.0,0.0,0.0,45.25,0.0,0.0,0.0,0.0,0.0
